"title","username","date","stars","content"
"Anyone But You","barbett-1","1 January 2024",510,"Neither brilliant nor dreadful, ""Anyone But You"" features a cast of characters that are unbelievably attractive and, apparently, insanely wealthy. It stars Glen Powell and Sydney Sweeny's breasts in the formulatic equivalent of a Hallmark Movie knock-off. You know the drill - two perfect young people meet, are instantly attracted to each other, are separated by a misunderstanding with hilarious hijinks ensuing. The misunderstanding is eventually resolved, love blooms once more, and all ends well.What sets this film apart is excellent cinematography with lovely wide-angle views of the Australian countryside. The supporting cast is very capable although the Australian men are played as oafish stereotypes. Glen Powell plays his part well, but Sydney Sweeny appears to be reading her lines from a teleprompter offscreen. Not the worst movie out this holiday season and enjoyable as long as you refrain from high expectations."
"Anyone But You","pkertes-59666","5 January 2024",410,"I went to see this movie because I am a sucker for a romantic comedy, even the average ones (and let's face it, most of them are). Having seen the trailer, I had low expectations, yet this film still managed to come it at an even lower level.Boy meets girl, they hit it off briefly, there is a misunderstanding and when they reconnect through a friend/family wedding, they hate each other. Except as anyone could predict, ultimately they don't really, but it takes an eternity of inauthentic, puerile dross to get there. No tissues needed here.The acting is generally average to poor, and local actors like Rachel Griffiths and Bryan Brown (much of it filmed in Australia) do the minimum required, and are completely wasted here. The script is juvenile, facile and has little in common with reality. The direction is pedestrian and much of the movie is a travel ad for Sydney. Throw in plastic, unlikeable characters and a healthy dose of gratuitous nudity. The attempts at comedy are almost laughable as that, and what little romance eventuates at the end fails to convince after nearly two hours of tripe beforehand.Not recommended, even if you are a fan of the genre."
"Anyone But You","trinaboice","8 January 2024",410,"IN A NUTSHELL:
After an amazing first date, Bea and Ben's fiery attraction turns ice-cold until they find themselves unexpectedly reunited at a destination wedding in Australia that their exes also attend. So, they do what any two mature adults would do: pretend to be a couple amidst the fighting.The film was directed by Will Gluck, who also wrote it with Ilana Wolpert.Ultimately, this is like a rated R Hallmark movie with lots of raunch.THINGS I LIKED:
There is plenty of eye candy here for everyone. The cast is filled with good-looking people and includes Sydney Sweeney, Glen Powell, Alexandra Shipp, Hadley Robinson, GaTa, Michelle Hurd, Dermot Mulroney, Rachel Griffiths, Bryan Brown, and more.Sydney Sweeney was bit by a spider in the movie while filming. That famous clip was posted online and got a lot of stir.We get to visit Australia during the film.The cast is diverse, offering a variety of stories about romance and love.The last scene takes clips from the whole movie and has all of the actors sing the same song for a feel-good moment.THINGS I DIDN'T LIKE:
Sure, everyone in the cast is hot, but the script is garbage. It sounded like it was written by a trashy version of Chat GPT.It's supposed to be funny, but it's pathetic how they are instantly super ugly and mean-spirited to each other when they have a miscommunication.It's SUPER predictable.Cliched end-of-movie singing, dancing scene.So much fighting.So many awkward moments.They say the movie is loosely based on Shakepeare's ""Much Ado About Nothing"", but I think the Bard would be disgusted by the lack of intelligent language in the script. So many F-bombs. One similarity is that they get a wedding cake from a shop called ""Dogberry's"", which is the name of a character in the play.I cringed and rolled my eyes so many times.TIPS FOR PARENTS:
This movie is definitely not appropriate for kids. It portrays unhealthy relationships and extremely bad behavior.Kids will be completely bored because it's mostly adults talking to each other.Profanity and lots of F-bombs
A lesbian couple kisses and gets married
We see a topless woman
We see several shirtless men
A couple gropes each other inside their shorts.Two women wear bikini tops that barely cover anything.We see a ton of cleavage
A lot of sexual innuendo. We see an unmarried couple in the shower and bed together.We see two men smoke a joint.!"
"Anyone But You","ambusched94","31 December 2023",210,"A forgettable, expendable rom-com where all the somewhat funny, shock value scenes are exposed in the theatrical trailer and there is hardly any laugh-out-loud scenes in this film overall.While Glen Powell has the comedy chops and romantic charm for this film genre, to my astonishment it's the EXACT OPPOSITE for Sydney Sweeney. Her line delivery is dull and she has the same facial expressions, blank stare, dead eyes for most scenes in Anyone But You. You can tell she's acting as in she's not embodying the character in the story and she's simply reading the lines, not conveying any natural nuances in her character each time she does this. Sweeney's crying scene in the taxi felt unnaturally forced. I was surprised her acting was half-a**ed, whereas in the TV series Euphoria (2019-present) her acting feels natural. Or highly likely that she's a limited-range, one-note actress that can only do dark, coming-of-age drama genre and fails at rom-com. IMO, Powell and Sweeney had the most chemistry when their characters were arguing and hating each other. When they got all lovey dovey, the on-screen chemistry felt forced and it was lacking that romantic spark between their characters. I was not invested enough in their progressing relationship to care once they officially got together in the end.So one, I feel like Sweeney largely ruins the film with her bland acting and line delivery, and lack of emotiveness. A better choice for the lead actress in this film should've been a comedic actress or an actress who can deftly juggle comedic timing and dramatic, emotional scenes. If this film was made and released in the 2000s decade for example, Amanda Bynes would be a prime choice for the role of Bea. And two, the character development is lacking and backstory are just tacked-on but don't add any characterization substance. The screenplay pushes the two characters to meet instantaneously at the start of the film, so viewers don't get any individual scenes of each lead character beforehand leaving a lot of character backstory nonexistent. The screenplay gives a brief overlay of each of Ben's and Bea's backstory in a scene montage and it's the error of telling over showing, and it doesn't work, leaving a rushed characterization of both characters that cheapens the film.Supporting characters feel like caricatures and don't add anything to the story. No supporting character was memorable. Some corny dialogue and meta rom-com instances that seem shoehorned in. Also, I wish Darren Barnet (Paxton from the TV series Never Have I Ever (2020-2023)) had more scenes, dialogue and that he would've been the guy Bea ended up with if there was an unexpected surprise, twist ending, instead of the ""enemies to lovers"" and ""stuck together so they'll end up together"" overused romance tropes. But the screenplay is too safe and screenwriters would never be bold enough to rise up to a different, atypical ending like this.I did like that the majority of the film was set in Australia and a few of the songs used in the film's soundtrack.It's ironic that Dermot Mulroney and Rachel Griffiths are in this sucky rom-com when blasting back to the past to 1997, both Mulroney (as the leading man and love interest) and Griffiths (in a supporting role) starred in a first rate quality rom-com, My Best Friend's Wedding. This is why most of my fave rom-coms are from the '90s and the 2000s. When quality storytelling, chemistry, and character development reigned in comparison to this current rom-com garbage.Anyone But You is a derivative, formulaic rom-com that's ultimately unmemorable, vapid rom-com plot, and a waste of time. Just casually watch it once it comes out on streaming if you have nothing else to watch and don't care about draining 1 hour 43 minutes of your time."
"Anyone But You","dogonlion","10 February 2024",110,"Everything in this movie feels forced. The comedy is like ""please laugh, please laugh"". I guess that works on some. Nothing flows naturally. The way they love at first sight and all of the sudden start bickering is unrealistic. The bickering is annoying. Sydney Sweeney is a really good actress, I really liked her in The White Lotus, but she's hasn't been in a movie that uses her full potential yet. The movie is full of cliches. It even has the funny black friend with no love life. I'm really shocked by how much money this movie made. I guess as long as those kinds of movies make money they'll keep the same formula and keep factory produce them and soon will use artificial intelligence to write them."
"Anyone But You","miza004","22 December 2023",510,"This movie is exactly what I thought it would be so I can't complain too much.The two leads are both very attractive and have good chemistry, so that was entertaining to watch and nice on the eyes. It had some cute scenes. I gotta say the ensemble was pretty good if I laughed it was always because something one of them said. They were a bunch of goofy characters. I also enjoyed dermot mulroney's character when he was learning how to dive and the reoccurance of that at the end of the movie. It made me giggle.But I gotta say... the dialogue was very mediocre and at times just not good at all. It just lacked depth which again didn't expect it to have depth but still could have been better."
"Anyone But You","chris_rowe-881-168820","14 January 2024",210,"Why do we need pretty people clearly in make up (men and women) throughout, even in situations everyone would look rough in they're still perfect, it's boring, dated and lazy.Shocker, gay wedding and interracial family, I'm someone who never noticed before but this generations desperation to force things into films now is a bit embarrassing and point scoring.Fake white teeth.Lead girl can't act and has horrific voice, she failed so badly with dialogue, but I guess that's why you made sure some of her assets were visible at every moment! I'm sure her sister really wanted to see through her top!Writing was desperate and ripped off many 90s films, but failed to deliver a script of set of people that seemed real.Why are the actors so unlikeable ?Why is it ok for that guyto keep saying ""white boy things"" as an insult? When if Ben said black guy stuff this film would be cancelled.I'd put good money on SS not being cast if not for two reasons.Why can't films have a bit steamier love scenes? Why is it all so pg!"
"Anyone But You","cinemapersonified","22 December 2023",410,"Rating: 4.4
Overall, an incredibly formulaic Rom-Com that tries way too hard to capitalize on the popularity and looks of Glen Powell and Sydney Sweeney, but fails hard as it is so predictable and barely funny.Bad Direction (The whole movie just feels like the studio shelled out something to tick boxes rather than make a well thought-out comedy (this included plot concepts, wardrobing, and jokes) because that's what they think the audience 'wants' as they try too hard to be 'modern,' meaning the director couldn't make any creative decisions; the direction on both a macro and microscale feels very formulaic to other Rom-Coms; the direction of actors is very bad as he does not establish any chemistry for the cast as all the performances feel mundane and toneless; the storytelling is a formulaic and predictable Rom-Com), Bad Acting (Bad to Pretty Bad from Sydney Sweeney (The overall performance feels mundane and toneless and she fails to establish any chemistry with Glen Powell, but she does have some moments where she does a decent to pretty good job), Decent to Pretty Good from Glen Powell (The only positive performance in the movie as he holds his own and leads the movie well as a Rom-Com lead (it's just the material is so bad he can only do so much)), Decent from Alexandra Shipp (Actually holds her own well and shows some a little range (which is a lot given this movie)), Bad from GaTa (Cannot match the levels of any of the other actors and feels very toneless with little effort), Pretty Bad from Hadley Robinson (Just doesn't offer anything), Decent from Michelle Hurd (Shows some experience and decent timing), Decent from Dermot Mulroney (Has some charisma and timing), Decent from Charlee Fraser (The most surprising performance of the movie as she holds her own fairly well and establishes some charm and chemistry with Glen Powell), Very Bad from the rest of the cast (Just a lot of toneless and stereotypical Rom-Com performances; there is no chemistry in the entire cast)), Very Bad Story (The concept is a modern retelling of Shakespeare's 'Much Ado About Nothing,' but it does not do anything to be unique as it just follows the cookie cutter Rom-Com plot (mixed with forced modern references); the story construction is incredibly formulaic as each scene is incredibly predictable on what is going to happen and where it is going to go; because the movie is so predictable, there is a flow because it just follows this boilerplate to a tea; the character writing is terrible as all the characters as so shallow and stereotypical to Rom-Coms (and things are brought up for characters that never get addressed or add more depth to the characters)), Very Bad Screenplay (The dialogue is atrocious and very predictable (the movie forces in so many modern references that it just feels like they are pandering to the youth rather than writing realistic dialogue); the joke hit rate is probably 1 out of every 5 jokes (and some of the jokes are just so stupid that its cringe at how they even made this movie); the symbolism is incredibly overt (with the quotes from the source material and the messages of the story being overlaid onto the screen); the foreshadowing is incredibly overt that it makes the movie incredibly predictable), Decent Score; Decent Soundtrack (Did enjoy the songs they chose), Pretty Good Cinematography (Very polished as you could tell the studio put in a lot of money to make this movie), Pretty Bad Sound (Some of the sound effects are just off from what happened), Decent Editing (The actual edit was very polished and felt like it had a big budget; the cut for the movie just feels weird as it is obvious where they did reshoots and what was originally shot), Good Costumes (They made a very conscious decision with what each character was wearing to get people to watch this movie (and I respect that)), Plot Structure followed the source material's and Rom-Com template to a tee (which made the movie incredibly formulaic and predictable), Pacing was decent (as it kept the Rom-Com pace), Climax was so forced and incredibly formulaic (which made me cringe very hard when watching this movie), Tone was very similar to other Rom-Coms (especially from the early 2010s), It was so obvious where there were reshoots for this movie as some of the scenes were so bad and some were more tolerable."
"Anyone But You","masonsaul","30 December 2023",710,"Anyone But You is an enjoyably cynical rom com that still has plenty of heartfelt romance at its centre. Just getting one of these theatrically released currently is kind of a miracle and it plays squarely to the genre's strengths. All its beats are predictable in the best way.Sydney Sweeney and Glen Powell are on their way to becoming genuine movie stars and this film only further solidifies that. The constant barbs they send each other's way for the majority of the film are really funny and the chemistry they're constantly trying to deny has a real spark to it.This isn't Will Gluck's first rom com and that's apparent in the good ways. The broad physical comedy is balanced nicely by the snappy wit interspersed throughout and it's surprisingly epic (a lot more helicopter stuff than expected). A good soundtrack always helps with this genre and the one here nails it."
"Anyone But You","Remmuchan","27 December 2023",310,"I cannot for the life of me understand how this ended up being a movie shown in theaters. I went into this having no idea what the movie was about. I can now say that I wish I never even bothered to purchase a ticket to see this atrocity. It was the biggest waste of my time ever.I cannot tell you how many times I cringed watching this and how many times I wanted it to just end. The acting was AWFUL, especially from the lead actress who tried so hard to act seductive but it just came off as terrible. Everything about this movie made no sense. The plot line was awful. It felt like watching a really cheesy Netflix rom-com but a hundred times worse. The shocking nude scenes just added to its awfulness.I can't get over how bad this is and I really think they just wanted to make something to tick all the boxes of what a rom-com is except it did not tick any of those boxes at all. Terrible acting, terrible movie, terrible plot line, terrible directing, terrible EVERYTHING.I HATED this movie. Avoid at all costs."
"Anyone But You","MichaelByTheSea","26 December 2023",910,"This was like an R rated raunchy Hallmark movie where people actually have sex. I can do without the miscommunication trope that drove apart a couple that seemed to be connecting, but I enjoyed the banter and really enjoyed the stars.""Serious"" critics typically don't appreciate the rom-com genre and judge them harshly. I went with my adult children and we all loved the movie. My kids make fun of my love for Hallmark movies, but even they liked this one. We laughed out loud repeatedly and walked out smiling. I love that feeling.Sure, the script is flawed, the plot's ridiculous, and some of the dialogue is a bit off, but Glen Powell and Sydney Sweeney light up the screen with their amazing chemistry. They're extraordinary specimens and look like they spend 6 hours a day in the gym, but I also like them as actors. Glen Powell was really good in another enjoyable modern rom-com with Zoey Deutch called ""Set It Up"" and he's fearless here, especially with the over the top body humor.Sydney Sweeney is certainly voluptuous, and gorgeous to look at, but she's also established herself as a great actress in more critic friendly shows like ""Euphoria"" and ""White Lotus"". Edgy and dark is fine, and it certainly gets taken more seriously by the critics, but I prefer getting lost in an escapist rom-com that doesn't involve terrible people doing terrible things.I want more of this."
"Anyone But You","Iwona2403","8 February 2024",710,"Finally a romantic comedy that feels like something from late 90s, early 00's.Dig this so much!!These movies are not Oscar material nor were they intended to be. But they are heartwarming and cute!Teens should have more movies like this!Us adults, we're craving for good old style romantic comedies.I hope Hollywood will keep making more and more of these!The chemistry was very good between main characters! The colors of the movie... The vibe throughout entire movie! I enjoyed it.It's a seven from me cause I desperately need more movies like this.Thank you creators for finally making us happy! 😊"
