"title","username","date","stars","content"
"Poor Things","parksiet","31 December 2023",NA,"Poor Things simply just wasn't for me. I really don't like to say I hate a movie... so we'll just go with ""it wasn't for me"". I did appreciate the production design and performances, but a lot of the cinematography and writing/directing choices just didn't work for me. Just a little too weird for my tastes. And felt way too long. I wanted to like it so bad, and was so disappointed to find myself disliking it so much.I know it's been getting good reviews from most people - I'm in the minority here! So if you're interested, definitely check it out! I'm a huge supporter of going to see a film if you are interested in it and deciding for yourself how you feel!"
"Poor Things","Pjtaylor-96-138044","23 January 2024",NA,"Poor Things (2023) is an ostensibly feminist film directed by a man, written by a man, and based on a book written by a man... and it shows. This isn't the feminist masterpiece many people claim it to be, and there are a few deeply problematic elements that make most of it feel downright icky. It's about an extremely sheltered (read: imprisoned) young woman's coming of age (mostly via sexual liberation) and the journey she takes to outgrow the various men who seek to control her in one way or another.The film takes the 'born sexy yesterday' trope and pushes the sickly male fantasy even further by making Emma Stone's Bella not only naïve but actually, at least to begin with, a literal baby inside an adult's body. The concept is that an experimental surgeon (a make-up-caked Willem Dafoe) finds a recently deceased pregnant woman and decides to put the infant's brain into the mother's skull and reanimate her. The unborn child is birthed directly into an adult body, skipping over the physical development but still going through the mental development. It's mentioned that her motor skills will come slowly, but that her mind will develop at an advanced rate. This doesn't really make sense, as absurdist and impressionistic as it is intended to be, and it seems to be accelerated purely because the piece doesn't want to be scrutinised over the icky insinuations of its own concept.The narrative can't take place over more than a couple of years, but it's heavily implied that the hero has grown from being a babbling baby at the start to a self-actualised woman at the end. The timeline for all this is uncomfortably ambiguous, though. Although Emma Stone and writer Tony McNamara have said Bella is actually about sixteen, mentally speaking, when the sex starts (which is still very young, especially in relation to the men she gets involved with, but is at least more akin to the generally accepted age for media portrayals of sexual coming of ages), her mental age is consistently ambiguous. She still walks with the ungainly gait of a toddler when she's supposedly close to the brain age of twenty and she remains acutely innocent even as her general maturity begins to show. The capacity to learn and grow that comes with getting older is separate to the knowledge you gain from having actual experiences, and there is a point at which it's evident Bella is capable of understanding the world around her like an adult even though there are still plenty of things she has yet to be exposed to and are therefore a mystery to her. Even if she is sixteen when we first see her do the deed, the sequence in question - as well as almost all those that follow it - still boils down to a creepy older man having sex with - at oldest - a teenager who is incredibly naïve and unaware that the bloke is taking advantage of her. As others have pointed out, children can't give consent, and misguided consent isn't consent either (you can't consent to something without properly understanding it).Even if Bella wasn't younger than she appeared, her sheltered sincerity would still craft a dynamic that plays into that odd male power fantasy of engaging with a woman who isn't equally as experienced as them. The men in the movie are totally taken with Bella's childlike demeanor, falling head over heels for her because - not in spite - of her younger mental state, and that's massively unsettling. Of course, that is kind of the point. However, the story frames Bella's experiences with these men as a means of her achieving adulthood and ultimately doesn't decry them as much as it should. The most likeable male character (Ramy Youssef) calls her lovely as soon as he sees her, even though she's acting like a toddler, and then proposes to her with the full knowledge that he's proposing to someone who, again, is in her early teens at the absolute latest (this isn't treated as a problem, and he is positioned as the only 'good' guy left by the film's end). It's all just a gross variation of a bizarre male fantasy that really shouldn't be something anyone fantasises about.I'm not sure if it's to the film's credit or to my own that none of the sex scenes ever feel sexy, primarily because it always feels downright wrong to be seeing Bella participate in them. Despite the fact that she's played by an attractive adult actress, you can't separate what you're seeing from the context in which you're seeing it. You never forget that the character herself isn't as old as the person portraying her, even when her mental age might have caught up to her physical age, but it's difficult to say whether that's due to the filmmaking itself or due to the way in which the viewer reacts to what they're seeing. To be fair, the sexual scenarios are all filmed with a kind of detachment that massively reduces their in-the-moment male gaze, even though it's still apparent and runs throughout the actual narrative (despite the female protagonist and themes of female liberation).All of this begs the question: what about the concept of a baby's brain being put into an adult's body indicates it should be used to kickstart a story that's primarily about sexual liberation? Why is Bella's development viewed almost entirely through the lens of sexual discovery? It's a very weird place to take the concept; there are many potent elements that comprise someone's journey into adulthood. It's a massive missed opportunity to explore some of these aspects. Perhaps the picture's second most prominent aspect is its depiction of the patriarchy and its protagonist's almost accidental breaking of it (at least when it comes to her specific experience). It gets really close to making a point about this, but it settles for making most of the men in the movie look like total idiots and, as great as that is, it feels like more could have been done. Others have pointed out there's no mention of menstruation, which is a key milestone on the path to womanhood, which indicates that the piece isn't as concerned with the female experience of growing up as it thinks it is. By focusing so much on its sexual aspects and going out of its way to make them as inappropriate as possible (one-upping the 'born sexy yesterday' trope by throwing a literal infant into the fray), it's just very yucky overall and it isn't even done in a way designed to challenge the audience (it almost feels like it wants you to forget about the specifics of its underlying concept after a short while).It may sound like I hate the feature, but I don't. From a technical standpoint, it's well-made in pretty much every area and it has an unconventional approach to its aesthetic that makes it distinct from its peers. Its performances are also all really good, with Stone impressing the most. It isn't especially boring, even if it isn't particularly compelling for long stretches, and it also inspires a fair bit of thought if you're willing to engage with it critically. You can call it a lot of things, but bland isn't exactly one of them.The feature isn't the laugh riot many people are claiming it to be, but it is mildly amusing (I don't think I actually laughed once, but I did smile a few times and did one of those sharp nose inhales on one occasion). The first movement is rather difficult to get through; I didn't particularly enjoy any of it. When the piece pops into colour and starts its second act, it slowly gets more interesting and enjoyable. It also becomes even more visually appealing, with fantastic steampunk-esque sets and elaborate frilly costuming captured with delightfully vivid cinematography. The best parts of the picture aren't when it's indulging in its infamous sex scenes (which, despite their frequency, aren't actually as explicit or gratuitous as their reputation would suggest), but instead when Bella is on her journey of self-discovery. This segment leans into the increasing frustration of her insecure companion (an accent-chewing Mark Ruffalo), providing space for the picture to begin to critique the caveman male ego, alongside her exposure to things like philosophy and suffering, which paves the way for her to develop her intellectual and emotional aspects independently of her sexuality (which, for large portions of the affair, is the only way she gets to express and explore herself, cementing the flick's somewhat misguided concept that sexual liberation is the highest form of female empowerment - an idea which flattens feminism, as well as the female experience itself, to only one of its many elements). Though it doesn't fully explore its potentially powerful themes and arcs, it's intriguing to see the protagonist grow as a character and drive the men around her to insanity simply by being entirely unconcerned with their notions of what she should be. The feature slowly but surely becomes more enjoyable as it goes along. Unfortunately, it then takes a hard turn into a sort of epilogue that's incredibly on-the-nose and feels unnecessary. It also introduces an outright villain (Christopher Abbott) whose inclusion only really serves to dilute the misconduct of every other male character (including the 'good'-coded Fiancée, who - let's not forget - decided to marry a child in an adult's body). This segment tanks the pacing and highlights the fact that it's just way too long overall. This goes hand in hand with the other narrative issues to create an experience that's ultimately rather disappointing. It's not just that its narrative is misguided at best, it's also that it isn't that entertaining. It isn't terrible, and there is a stretch where it's even rather good, but I don't find myself particularly moved by any of it and it isn't something I'd actively recommend. Despite its surface-level yet undeniable visual wonder and its genuinely strong performances, it's a bit of a slog to get through and it often makes you feel uncomfortable in the worst kind of way (it's not challenging, it's just creepy)."
"Poor Things","kjproulx","6 January 2024",NA,"For the reason that I'm completely unsure who this film is aimed at (aside from film lovers like myself), I will not be recommending this one, but I'll also state that this is one of my favourite films in years. If that intrigues you, then maybe Poor Things is your cup of tea. Yorgos Lanthimos is a director with a clear vision that I deeply admire. I don't love all of his work, but the worst I can say about any of his films is that I appreciate them. Well, Poor Things just jumped to the top of my list of favourite Lanthimos pictures. This is a pure work of art, in the weirdest, most bizarre way possible. I'm still trying to wrap my head around the brilliance of Poor Things. Let's dive right in.The film begins as Dr. Godwin Baxter (Willem Dafoe) finds the dead body of a pregnant woman. After taking her corpse to his lab, he makes an incision and removes the baby from her body. He then takes out the woman's brain and replaces it with her baby's brain. Then, much like in the style of Frankenstein, he reanimates the body and she comes to life. He refers to her as Bella (Emma Stone) and refuses to let her leave home. Much like an infant, Bella learns to walk, speak, and also learns every detail of her body. Upon meeting Duncan Wedderburn (Mark Ruffalo), the two of them form a connection and flock away to roam the world together and get very intimate. That's the jist of what sets this film in motion, so if that already turns you off, I would recommend not watching it.If you're still intrigued, well then this film is a masterpiece. This story is told in a very unique style. As they visit real places in the world, it's done in an incredibly artistic and surreal way. This film is aware that the premise is impossible, so it makes the visuals and details match the absurdity and I couldn't get enough of it. The production designers, art directors, set decorator, costume designer, and the makeup department all deserve endless praise for their work here. They brought Lanthimos' vision to life in stunning fashion. The look of this film blew me away, on top of me already loving the wackiness of the story.Honestly, all I want to do is gush about this film. The camerawork, the score, every performance, and even the incredibly worded dialogue all just made this a remarkable achievement. Emma Stone deserves an Oscar for her performance here too. I haven't seen such an odd performance done this well and this committed in quite some time. She's a true revelation here and her chemistry with Mark Ruffalo was hilarious. He also deserves all of the recognition he's receiving for this.Poor Things is a very rare kind of filmmaking that doesn't come around very often. Yes, it's weird beyond what words could ever describe and I even watched a couple of people walk out of my screening, but I just can't feel that way. The craft onscreen is undeniable and I could only dream of ever being able to make a film this masterful. In every conceivable way, I believe this is my favourite film of 2023. If you're someone who is up for watching anything and willing to give anything a shot, I seriously can't recommend this film enough. I'm currently adding it to my list of favourites, ever."
"Poor Things","aciessi","24 December 2023",NA,"If you've seen any Yorgos Lathimos film, Poor Things is everything you would have expected and hoped for. If you haven't seen any of his films, buckle up. That's all I'll say.Poor Things is a thoroughly outrageous romp. It's trippy, disturbing and brutally funny. You could summarize this film as, essentially, a feminist spin on A Clockwork Orange. Both films/novels explore the concept of freewill in an oppressive society. But while Alex struggles with his repugnant urges for ultra-violence, Bella struggles with her normal primal urges of sexual liberation and independence. What women are expected to do in this dystopian universe, Bella does the opposite, and much to the chagrin of her male caretakers. Despite being created in a laboratory by a mad scientist and saddled with the brain of the infant child she was pregnant with, Bella forms an insatiable appetite for exploring and thriving.Poor Things celebrates hedonism, but in a way that's both honest and humorous. Lathimos finds freewill to be as necessary as the air we breathe, and at times, that challenges so-called ""polite society"". Consider Bella an avatar for the id. Or, perhaps consider her a pioneer and a rebel. Whatever impression you make out of this, you will be blown away by Bella, who is truly the heart and soul of this entire movie. This is the defining role of Emma Stone's career. She captures a level of vulnerability and aching desire that we haven't seen from any actor in a long time.Poor Things holds nothing back. There's a lot of sex. A lot of awkward, unsexy, sex. Perhaps it's the most realistic sex we've ever seen in a film! The special effects here are some of the strangest and most inspired of Lathimos's entire career. Mark Ruffalo's performance as Duncan is by far the year's best comedic performance.If you're looking for a cinematic spectacle this holiday season, you've found it right here."
"Poor Things","Billybobble1","26 February 2024",NA,"While I am loathe to criticise a fairly original story and something quite different from the norm, this film was definitely not for me. I'm a big fan of Stone, Ruffalo and Defoe so it pains me even more to be negative but I did not like this at all and feel tricked by the high review scores, to the point where I feel the need to leave a low score to balance it out a bit.I was left thinking suddenly I no longer understand film for this to have scored so high.I'm not sure why this is deemed a comedy, it is much more a horror in the conventional sense. Frequently grotesque and music designed to make you want to hit the mute button. I tried to like the style and cinematography but I just found the whole story so unpleasant as to be completely distracting.The one thing I did find funny was the first frame saying 'CONTAINS TOBACCO REFERENCES', which is then proceeded by the opening shot of a suicide. What a bizarre world we are living in."
"Poor Things","imseeg","9 December 2023",NA,"Being weird can be interesting, but if being weird is THE MAIN feature a movie has to offer it's viewers then I can not get interested, let alone be mesmirised or captivated by it.Hurrah for the arthouse movie fans, of whom a niche group will love it to pieces, but for the casual viewer or Emma Stone fan, I would definitely not dare recommend it. It's artsy fartsy silly, sorry!Not any good then? There are lots of goodies! This movie really looks the part! The photography is out of whack, but in a beautiful dreamlike way. The intrusive soundscore falls into the same category. And so do the acting performances, who more resemble dream like sequences than anything understandable. It's honestly masterfully created, beautiful to watch. Respect. (BUT... artsy fartsy silly)More good: Emma Stone definitely delivers with her quirky acting performance. We get to see Emma Stone transform from a cute looking zombie into a more humanlike being, who discovers what's it like to have sex for the first time. More trivial human ""experiences"" like Emma Stone discovering what ""eating"" is like are quite amusing to watch as well. (BUT.... still artsy fartsy SILLY)Ultimately this movie disappointed me, because however weird a story or it's characters are, somewhere in a story there needs to be some character I can really relate to or sympathize with. And in this absurd story there simply is NOBODY...Because of the ABSURDITY of the enitre story AND it's characters, this movie left me COLD, but as I said before, a small group of the arthouse movie fans will love it to pieces, but I guess that MANY more casual movie goers will probably be only raising their eyebrows and be quite bored with it... like I was as well...Despite my mixed feelings about this movie, thank you for reading my 2200 th review on Imdb!"
"Poor Things","nicko252008","24 January 2024",NA,"The trailer was a total lie, they made this look like a quirky Sci Fi romantic adventure. I thought it was going to be like bride of frankenstein. Instead its more like a cheap porno movie. Bella Baxter dies pregnant and they implant her babies brain into her body so she has the mind of an infant. Immediately all the men around her want to screw her and notice how pretty she is, the father even tries to pawn her off on his assistant. Once bella finds out how to masturbate she is obsessed with sex. And for the next two hours we watch a girl who has the mentality of a child screw a bunch of men, all of who are talking advantage of her. She even goes to a brothel and although she agrees to it, we watch her get raped by old men. Dongs swinging in the air and all. The audience didn't know whether to laugh or be disturbed. The one who comes on to her first is ""Max"" the scientists assistant. He is suppose to be the good guy here... He is such a loser he could never get a girl on his own, he needs to manipulate a child. A typical molester to which the audience is suppose to have empathy for, SICK. This movie should have been 45 shorter, the sex scenes were too long, I was like ""OK enough already"" we get it, people were groaning in the theater. Two stars for art director, the steam punk setting was cool but wasted. This movie went around in circles, sex, sex, sex, yawn. 2 stars, what a stinker of a perverted film."
"Poor Things","pd-19490","20 January 2024",NA,"My previous attempts at reviewing this were declined possibly due to how I expressed my strong opinions about the movie. I will try again with as much restraint as I can and try not to insert my opinion. So here it goes. The premise of this film is that a suicidal pregnant woman jumps off a bridge and is brought back to life by a mad scientist who puts her unborn child's brain into her head. She then embarks on a ""self-discovery"" journey to apparent liberation. This involves her having sex with as many men as possible throughout the film in graphic detail, mostly while she still has the mind of a child. These men know she has the mind of a child and yet continue anyway. I will let you interpret that how you will. I won't watch it again. As an aside, and no offense to Ms. Stone, but watching Emma Stone participate in porn was never on my list of things to do."
"Poor Things","nicolasroop","22 December 2023",NA,"Where to begin with this one....First off, the performances presented here are top of their class. Absolutely phenomenal! In a film with characters as strange as these, you need a strong cast and every player here was up to the task and more! Just brilliant!Secondly, the story is insane. I mean padded room, straight jacket type of insane. When reading the synopsis, I was thinking about how wild of a concept it was and did not think they could pull off such an audacious plot. However, Yorgos and company had a specific vision for this film and it shows in the amount of detail in both the screenplay and the visionary artistic decisions. I can say, they completely nailed it!Thirdly, exploring the human condition through sexuality, in all emotional forms, has been done before. Though, never quite like this. It was refreshing to see it through the eyes of someone reborn and ready for everything life had to throw her, as opposed to the usual timid youthful eyes.Lastly, the cinematography is wonderfully done. Mixing between black and white to full color, with wild scenery and beautifully detailed architecture. Sometimes the film felt like a dream captured within a painting. It was quite beautiful.Overall, I would highly recommend it. I don't think it will be everyone's cup of tea. It is very artsy, very sexually uncomfortable, and very strange. However, if you enjoy great storytelling and truly original visions on film, better see this on the big screen.4.5 surgerys out of 5."
"Poor Things","doppleganger19692","8 February 2024",NA,"I gave this production a ""5"" for some remarkable visuals like the steampunk/Land of Oz cruise ship, and Willem Dafoe is fabulous is everything, BUT; the plot is like dumping a bag of Scrabble letters on the floor and calling it a ""story"". If there are some deep philosophical themes or character development arcs to learn from, they are well-hidden or so convoluted as to make them incomprehensible. I kept waiting for some ""aha!"" moment of clarity but it never came.Other reviewers have addressed - in excruciating detail - the disturbing implicated child molestation theme, but if nothing else the uncomfortable sex scenes are too numerous and too lengthy. The point (if there is one) could have been made without beating the audience over the head with a cinematic cudgel ala Oliver Stone's ""JFK"". And what in the name of Dr Moreau was with the animal hybrids?BTW the current ""craze"" in Hollywood of making movies in a mix of color and black & white (""Oppenheimer"" and ""Maestro"" for example) has run its course, and the mix in this production has very little to do with the storyline....whatever that is.Frankly the positive reviews are either from people who equate meaningless oddities with high art, or studio minions getting paid to boost the total review rating - which is most likely. I've been in the business long enough to recognize pretentious but ultimately meaningless movie fluff, and this is certainly that. Ultimately the only ""Poor Things"" in this movie are the people who have to watch it."
