"title","username","date","stars","content"
"The Holdovers","aharmas","29 October 2023",1010,"Here is a film that feels and looks like something out of the early seventies. The Holdovers is a strong and warm-hearted piece that gives actors roles with powerful lines, without any reliance on flashy editing and being overwhelmed by special effects.The story is simple three people get stuck for the Christmas holidays in a boarding school. It's cold, lonely, and boring for the parties involved. The adults drink to cope with whatever pressures they live with. The young man resorts to bad behavior and altercations with the teacher in charge.Through the vacation period these people will get to interact and get to know each other, something that will prove to a challenge to say the least. As the story evolves, we get to understand what has made the people who they are. We get to feel their pain and frustration through the very insightful writing of the director.It's a strong film with superb acting by the main leads. They have great chemistry together.Most outstanding is Paul Giamatti who plays the tormented and defensive man with relish and speaks volumes with his eyes.Hope the academy honors his performance as the best the year because no one else so far is coming close."
"The Holdovers","darkreignn","29 October 2023",910,"Let's just get this out of the way now - when it comes to writing this review, I'm probably a little bit biased (and a little bit drunk, currently, but that's besides the point). You see, I have an affinity for indie coming of age movies, and ""The Holdovers"" is basically an indie coming of age film, so it may - or may not - come as a surprise to you that I absolutely adored this picture. So, with that little preface out of the way, it's time for me to gush over this movie.Starring none other than Paul Giamatti as Paul Hunham, Giamatti plays a professor at an all boys boarding school where, over Christmas break, he has the misfortune of looking over a group of boys, one of whom is named Angus, played by Dominic Sessa. After a rocky start, where Paul clearly doesn't get along with any of the boys, making his disdain clear and evident, he eventually finds himself alone with Angus - as well as with the school's cook, Mary Lamb, played by Da'Vine Joy Randolph - in an unexpected chain of events. What occurs after is a slice-of-life style piece of cinema that allows broken people to find comfort in each other's company.""The Holdovers"" is, without a doubt, one of my favorite movies of 2023, as well as probably one of the best movies of the year, as well. This Christmas-themed gem doesn't hold back on the drama, delivering a thoughtful blend of comedy, coming-of-age storytelling, and a touch of romance - all wrapped around a very raw, human plot-line that virtually everyone can relate to. I'm no spring chicken myself, but I found myself deeply connected to both main characters - one who is older and basically dejected with life as he knows it, and one who is younger but who feels lost, aimless, and disconnected from both family and friends. And admittedly, not everyone will have a direct parallel to these experiences, but even if you don't, you're in for a story that's bound to tug at your heartstrings... and make you laugh out loud in the process.This is a high-quality movie - from the impeccable acting to the beautiful on-location cinematography to the relatable, thought-provoking plot, every element is executed with pinpoint precision and finesse; it's a testament to the art of storytelling on the silver screen. Director Alexander Payne knows how to create an artful film, and ""The Holdovers"" is no exception. It's at once indie and art-house while simultaneously being mainstream and easily accessible; in short, it's a film for everyone that actually feels like a genuine crowdpleaser instead of a pandering mess.I'm having a difficult time describing what I liked about this movie, and the reason is because I liked almost everything about this movie. So why the 9 out of 10 rating instead of the perfect 10? Literally the only thing that's holding me back is because I would've liked a touch more romance; yes, there was romance here, but a bit more would've pushed me over the edge into 10 out of 10 territory. Besides that, this is basically a perfect film, one that I loved, and one that has become one of my favorite movies of the year, if not of all time. I am genuinely looking forward to rewatching this, and I can't wait until it becomes closer to Christmas so I can view this on my own TV, cuddled under blankets, with a glass of whiskey, and bask in the absolute heartwarming experience that is ""The Holdovers."" My recommendation: Do yourself a favor and watch this as soon as you can - you won't regret it."
"The Holdovers","evanston_dad","20 November 2023",1010,"Mid-way through ""The Holdovers,"" I started openly weeping in the movie theater, and I pretty much kept it up on and off for the rest of the movie. Sometimes, there wasn't even anything obviously sad or moving happening in the scene, and I still couldn't stop. I think it's because this movie is so kind, and kindness is a rare commodity these days. It's sad to think that a movie about characters learning to have compassion for each other and for the hardships they've been through should feel like such a rare beast, but here we are.This is Alexander Payne firing on all cylinders as a director, and though he didn't write this movie, it feels like he could have. It's an obvious throwback to the kinds of movies Hal Ashby made throughout the 1970s and is touching in exactly the same way ""Harold and Maude"" was. It's also a master class in acting from the three principal characters played by Paul Giamatti, Dominic Sessa, and Da 'Vine Joy Randolph, and I hope all three of them, and the movie overall, is remembered come Oscar time.This will easily make my top ten list for the year.Grade: A+"
"The Holdovers","Xstal","28 November 2023",810,"Now here's a film with a life affirming theme, that should encourage most viewers to think of their dreams, and cascade away all their cloaks, inhibitions, and open fresh doors to their heart's intuitions; as a teacher whose life is as stale as dead fish, whose life is the opposite of happy and bliss, meets a boy who's ignored by all those he holds dear, and a friendship is formed that is warm and sincere; it's a subtle reflection of how we get trapped, by tradition and habits and past circumstance, where surroundings like prisons can temper our thinking, to distil all our spirit, to bottles for drinking; so embrace all the chances when they come along, break out of that mould and sing your own song, open your eyes to the paths unexplored, take a stand and stand tall, and stop being ignored."
"The Holdovers","steiner-sam","10 November 2023",910,"It's a comedy-drama set from December 16, 1970, to the first week of January 1971 in an exclusive boy's boarding school in New England and Boston, Massachusetts. It follows the experiences of the ""holdovers,"" that is, the students who cannot go home over the Christmas holidays and the two Barton staff left to supervise them during the holidays.There are five holdovers: Teddy Kountze (Brady Hepner), Jason Smith (Michael Provost), and Angus Tully (Dominic Sessa) are upper-class wealthy WASP students. Alex Ollerman (Ian Dolley) is a younger Mormon student whose parents are on a mission in South America. Ye-Joon Park (Jim Kaplan) is from South Korea.Left to supervise is Paul Hunham (Paul Giamatti), an unmarried ancient history teacher who was once a student at Barton and has taught there all his career. He's a demanding curmudgeon who almost everyone dislikes. African American Mary Lamb (Da'Vine Joy Randolph), the head cook, is also present; her son, a Barton grad, has just been killed in Vietnam.The film follows the shared experiences of the holdovers, though four students leave after a week when a wealthy father takes them for a ski holiday. Paul cannot contact Angus's parents, so he must stay with Paul and Mary at Barton. We also meet the school's headmaster, Hardy Woodrup (Andrew Garman), his administrative assistant, Lydia Crane (Carrie Preston), and janitor Danny (Naheem Garcia).""The Holdovers"" is a delightful comedy leavened with wisdom as we learn the dark secrets that have shaped Paul Hunham and Angus Tully. Giamatti, Sessa, and Randolph are all excellent. The script unfolds the twists and turns superbly. ""The Holdovers"" is a great Christmas movie."
"The Holdovers","JohnDeSando","16 November 2023",NA,"""I find the world a bitter and complicated place. And it seems to feel the same way about me."" Paul Hunham (Paul Giamatti)Teaching privileged boys at an elite new England prep school called Barton (think for example, Philips Exeter), might be the pinnacle of an academic's career. But not Paul Hunham in The Holdovers, an elite movie itself of the year.Paul should be teaching classics at an ivy school, not teaching entitled ""vermin,"" among the many sobriquets he tosses around about the fortunate young men to experience his brand of grumpy intellectualism and misanthropy. He prepares them for a world that won't always be coddling and protecting them as their family wealth so naturally does in their early years.Director Alexander Payne worked with Giamatti in Sideways, so he is prepared to have another winning cynical character who is endearing while distanced by negative temperament from normally positive fellow humans (Paul's last name, Hunham, suggests a distant connection with the better angels of humanity).As Paul accepts the assignment to supervise holdovers (exiled to Christmas vacation in the absence of parents or guardians), the number whittles down to just Angus Tully (Dominic Sessa, reminiscent of young, Timothy Chalamet and Adam Driver), who shares Paul's dark attitudes and, with the sharp writing of David Hemingson, some witty dialogue- e.g., about Paul he says, ""I thought all of the Nazis had left for Argentina.""Although, as in likeminded dramas such as Dead Poet's Society or Goodbye, Mr. Chips, the principals are destined to be transformed into more humane characters, Holdovers continues, even in its denouement, to accentuate the unsunny side of life for Paul and Tully, whose fortunes are still compromised by cold-hearted parents and administrators. The chilly world, however, is warmed on these lovely, snowbound days, by women, viz., the cook, Mary (Da'Vine Joy Randolph) and administrator Lydia (Carrie Preston).Mary good-naturedly deals with the death of her son, Curtis, a Barton grad who had to join the military because he did not have the resources as other Barton grads of the late '60s did to avoid the draft.Lydia, an attractive middle-aged staff member, holds the promise of a love interest for Paul, only to show how difficult it is for social exiles to enter the romantic mainstream.The Holdovers is a small gem of a move that will immediately remind buffs about Hal Ashby comedies of the same era like Harold & Maude, where character development is paramount and detachment from the mainstream is required to look at humanity clearly with its foibles and endearments.The Holdovers is a movie everyone can enjoy with endearing characters who share with us our moments about loneliness peppered with the possibilities of love and happiness.""Do you think I want to be babysitting you? No. I was praying your mother would pick up the phone, or your father would arrive in a helicopter or a flying saucer...."" Paul Hunham."
"The Holdovers","dtswpod","6 November 2023",810,"Do you miss how they used to make films in the 1970s? Plenty of filmmakers do, except they take that nostalgia and just do watered down versions of better movies. As an example see Taxi Driver and King of Comedy then watch Joker and you'll get what I mean.Thankfully, Alexander Payne has managed to take his sentimentality and make an original film out of it. Or if The Holdovers is a pale imitation of a superior picture then the filmmaker has managed to trick me because I don't feel as if I've seen this movie before but done better.Now to be clear, there aren't things you've never seen before in the movie. I mean, you know the characters are going to bond at some point. And people will grow to care about each other. That's a given. How we get there, however, is what makes the film seem fresh and entertaining and ever bit as good as any flick made back in the day.I hope more people see it."
"The Holdovers","tdwillis-26273","7 December 2023",810,"Finally......a GOOD movie. The story/script, although not a breakthrough idea, was heartfelt,full and real.The settings were also real and gorgeous (not really a cgi fan)
Camera, cinematography, lighting,sound,score....every level made my eyes and ears satisfyingly full.Acting was oscarworthy across the board.Directing was brilliant.Only negative I can come up with is that the pace was a bit slow, but so much of the movie is so focused and so superbly and beautifully made I just sat back and enjoyed it.A very thoughtful substantial and beautiful movie. A rare gem in today's superficial gimmicky movie making world."
"The Holdovers","ferguson-6","8 November 2023",810,"Greetings again from the darkness. We've all had that teacher. You know, the one with an evil streak who just seemed to thrive on making students miserable. Throw in a staff and administrators who feel the same way, and the casting choice for the teacher becomes obvious. Enter the always great and perfectly curmudgeonly Paul Giamatti. This is the first time Giamatti has worked with two-time Oscar winner Alexander Payne since their brilliant SIDEWAYS (2004), and it's clear these two share a wavelength for comedy and drama, even in throwback form.Paul Hunham (Giamatti) is a long-time professor at Barton Academy, an all-boys private prep school located in the snowy northeast. It's December 1970, and an early scene exemplifies how he relishes the failing grades he bestows upon desperate students so afraid to disappoint their rich parents. In the final class before the holiday break, the student-teacher banter doesn't go so well for the boys, and they head to break with an extra workload. Hunham is easily manipulated into babysitting the titular holdovers - students stuck at school over the break, while most others spend time with family, often on exotic trips.Initially there are five students, but after a certain development, what remains is Hunham, smart but troubled Angus Tully (first timer Dominic Sessa) and the school's head cook, Mary Lamb (a divine Da'Vine Joy Randolph, DOLEMITE IS MY NAME, 2019). Hunham is perpetually annoyed and has a weakness for booze. Angus is frustrated that his mother left him at school so she could travel with her new husband, and Mary is grieving over her son who was killed in Vietnam. Watching these three struggle to bond is a case study in psychology, yet of course we know they will ultimately form a family of misfits, depending on each other to offset the loneliness.The genius tagline for the film is ""Discomfort and Joy"", and initially the first overshadows the latter. Isolated from the world in their own way, the three characters begin to influence each other, showing broken/wounded people need and deserve love and friendship as much as anyone else. ""Entre nous"" (just between us) becomes a kind of calling card for this trio, and a Christmas party thrown by an eternally optimistic staffer (Carrie Preston) is a turning point.Giamatti is master of this material and only goes over the top a time or two. It's painful and humorous each time he is so anxious to infuse his breadth of ancient civilization facts into even the most mundane conversations. Newcomer Sessa possesses star potential and nails a complex first role. Da'Vine Joy Randolph's Mary is the heart of the film, doling out advice to Hunham and comfort to Angus. Depression is a vein running through these characters and it's acknowledged, though not the focus.This is Alexander Payne's first film since the disappointing DOWNSIZING (2017), but his brilliance has been proven in ABOUT SCHMIDT (2002), SIDEWAYS (2004), THE DESCENDANTS (2011), and NEBRASKA (2013). This time he's working from a screenplay by successful TV writer, David Hemingson, and though there is never much suspense about where the story or characters are headed, we enjoy the ride immensely. Cinematography from Eigil Byrld (IN BRUGES, 2008), perfectly complements the emotions (shot on digital, graininess added in post), and the soundtrack is period-specific, including the great Cat Stevens. Pay attention to the retro opening credits and logos, and enjoy a smart and funny film (an Alexander Payne trademark).Opening in theaters November 10, 2023."
"The Holdovers","akcenat","1 January 2024",810,"""The Holdovers"" is a captivating blend of comedy and drama that beautifully explores the complexities of human relationships.Story is about a grumpy instructor (Paul Giamatti) at a New England prep school who forms an unexpected bond with a troubled student during the Christmas break. Because it is set in the 1970s, the film in a way is a nostalgic journey back in time, but with a narrative that is both engaging and thought-provoking.The performances are exceptional, with Giamatti delivering a compelling portrayal of a man grappling with his own loneliness and the challenges of mentorship. The film's narrative is richly layered, exploring themes of loneliness, friendship, and personal growth. It's a story that resonates, offering a poignant reflection on the human condition. The film's setting in the 1970s adds a layer of nostalgia, further enhancing the emotional depth of the narrative. Despite its lengthy runtime, ""The Holdovers"" mostly maintains a steady pace, balancing its dramatic elements with moments of humor and warmth. The main plus of the movie is its dialogue-driven approach that adds to its charm, creating a sense of authenticity and depth in its character interactions.Overall, this is a film that leaves a lasting impression, offering a thoughtful exploration of human relationships set against the backdrop of a bygone era. With its exceptional performances and engaging narrative, I'm giving it an 8 out of 10 rating. It's a must-watch for those seeking a film that combines drama, comedy, and a touch of nostalgia."
