"","title","author","subject","abstract","meta"
"1","mpbn: a simple tool for efficient edition and analysis of elementary properties of Boolean networks","Van-Giang Trinh, Belaid Benhamou, Loïc Paulevé","Logic in Computer Science (cs.LO)","The tool mpbn offers a Python programming interface for an easy interactive editing of Boolean networks and the efficient computation of elementary properties of their dynamics, including fixed points, trap spaces, and reachability properties under the Most Permissive update mode. Relying on Answer-Set Programming logical framework, we show that mpbn is scalable to models with several thousands of nodes and is one of the best-performing tool for computing minimal and maximal trap spaces of Boolean networks, a key feature for understanding and controling their stable behaviors. The tool is available at this https URL.","Sun, 10 Mar 2024 16:40:35 UTC (214 KB)"
"2","Online Multi-spectral Neuron Tracing","Bin Duan, Yuzhang Shang, Dawen Cai, Yan Yan","Neurons and Cognition (q-bio.NC)","In this paper, we propose an online multi-spectral neuron tracing method with uniquely designed modules, where no offline training are required. Our method is trained online to update our enhanced discriminative correlation filter to conglutinate the tracing process. This distinctive offline-training-free schema differentiates us from other training-dependent tracing approaches like deep learning methods since no annotation is needed for our method. Besides, compared to other tracing methods requiring complicated set-up such as for clustering and graph multi-cut, our approach is much easier to be applied to new images. In fact, it only needs a starting bounding box of the tracing neuron, significantly reducing users' configuration effort. Our extensive experiments show that our training-free and easy-configured methodology allows fast and accurate neuron reconstructions in multi-spectral images.","Sun, 10 Mar 2024 16:34:21 UTC (23,690 KB)"
"3","Cracking the neural code for word recognition in convolutional neural networks","Aakash Agrawal, Stanislas Dehaene","Computer Vision and Pattern Recognition (cs.CV)","Learning to read places a strong challenge on the visual system. Years of expertise lead to a remarkable capacity to separate highly similar letters and encode their relative positions, thus distinguishing words such as FORM and FROM, invariantly over a large range of sizes and absolute positions. How neural circuits achieve invariant word recognition remains unknown. Here, we address this issue by training deep neural network models to recognize written words and then analyzing how reading-specialized units emerge and operate across different layers of the network. With literacy, a small subset of units becomes specialized for word recognition in the learned script, similar to the ""visual word form area"" of the human brain. We show that these units are sensitive to specific letter identities and their distance from the blank space at the left or right of a word, thus acting as ""space bigrams"". These units specifically encode ordinal positions and operate by pooling across low and high-frequency detector units from early layers of the network. The proposed neural code provides a mechanistic insight into how information on letter identity and position is extracted and allow for invariant word recognition, and leads to predictions for reading behavior, error patterns, and the neurophysiology of reading.","Sun, 10 Mar 2024 10:12:32 UTC (2,213 KB)"
"4","Comparing the physical characteristics of ultrasound and magnetic resonance imaging to diagnose ovarian cysts","Tariq Nadhim Jassim (1), Rasha Tahseen Ibrahim (2), Mohsen Hamoud Jasim (3), Nahd Jabbar Dalfi (4), Mohammed Fatta (5), Mohanad Ahmed Sahib (6) ((1) Radiological Techniques Department, College of Health and Medical Techniques, Al-Mustaqbal University, Hillah, Babylon, Iraq, (2) Medical Physics Department, College of Science, Al-Ameen University, Baghdad, Iraq, (3) Medical Physics Department, Hilla University College, Babylon, Iraq, (4) College of Health and Medical Technologies - Baghdad Radiology Technologies Department, (5) Radiological Techniques Department, College of Health and Medical Techniques, Al-Mustaqbal University, Hillah, Babylon, Iraq, (6) Al-Mustaqbal University, College of Health and Medical Techniques, Radiological Techniques Department, Babylon, Iraq)","Medical Physics (physics.med-ph)","Background, For the purpose of determining the appropriate course of therapy to maintain fertility, a correct diagnosis of ovarian cysts is crucial. Objective, To contrast the results of magnetic resonance imaging and ultrasonography in individuals with ovarian cysts . Methods: research was carried out in the radiology division of Al-Hilla General Teaching hospital and Marjan Teaching Hospital in province Babil in the period of November 2023 and march 2024, Seventy-five Following a physical and ultrasonography examination, the female patient was assessed using magnetic resonance imaging. Women in the over-18 age group exhibit a range of symptoms, such as irregular menstruation, abdominal pain, sensoria, and menorrhagia. Results: Adnexal lesions on US imaging included chocolate cysts (14.6%), dermoid cysts (13.8%), hemorrhagic cysts (HC) (11.6%), simple cysts (32.4%), complicated cysts (21.2%), and multilocular cysts (MC) (6.4%).Simple cysts (SC) made up 29%, complex cysts (6.9%), dermoid cysts (10.9%), chocolate cysts (19.1%), hemorrhagic cysts (HC) 11.3%, multilocular cysts (6.8%), and malignant cysts (MC) 16% of the adnexal lesions on MRI. The USG results show 100% sensitivity, 78.3% specificity, and 89.3% accuracy when compared to the MRI results. Conclusions: Magnetic resonance imaging, which is quite accurate in determining the mass's origin and characterizing its tissue content, may be beneficial in further evaluating monographically vague ovarian cysts with solid or complicated content","Sat, 9 Mar 2024 21:40:16 UTC (563 KB)"
"5","General surgery vision transformer: A video pre-trained foundation model for general surgery","Samuel Schmidgall, Ji Woong Kim, Jeffery Jopling, Axel Krieger","Computer Vision and Pattern Recognition (cs.CV)","The absence of openly accessible data and specialized foundation models is a major barrier for computational research in surgery. Toward this, (i) we open-source the largest dataset of general surgery videos to-date, consisting of 680 hours of surgical videos, including data from robotic and laparoscopic techniques across 28 procedures; (ii) we propose a technique for video pre-training a general surgery vision transformer (GSViT) on surgical videos based on forward video prediction that can run in real-time for surgical applications, toward which we open-source the code and weights of GSViT; (iii) we also release code and weights for procedure-specific fine-tuned versions of GSViT across 10 procedures; (iv) we demonstrate the performance of GSViT on the Cholec80 phase annotation task, displaying improved performance over state-of-the-art single frame predictors.","Sat, 9 Mar 2024 16:02:46 UTC (14,157 KB)"
"6","An in-silico approach to meniscus tissue regeneration: Modeling, numerical simulation, and experimental analysis","Elise Grosjean, Alex Keilmann, Henry Jäger, Shimi Mohanan, Claudia Redenbach, Bernd Simeon, Christina Surulescu, Luisa de Roy, Andreas Seitz, Graciosa Teixeira, Martin Dauner, Carsten Linti, Günter Schmidt","Tissues and Organs (q-bio.TO)","We develop a model the dynamics of human mesenchymal stem cells (hMSCs) and chondrocytes evolving in a nonwoven polyethylene terephtalate (PET) scaffold impregnated with hyaluron and supplied with a differentiation medium. The scaffold and the cells are assumed to be contained in a bioreactor with fluid perfusion. The differentiation of hMSCs into chondrocytes favors the production of extracellular matrix (ECM) and is influenced by fluid stress. The model takes deformations of ECM and PET scaffold into account. The scaffold structure is explicitly included by statistical assessment of the fibre distribution from CT images. The effective macroscopic equations are obtained by appropriate upscaling from dynamics on lower (microscopic and mesoscopic) scales and feature in the motility terms an explicit cell diffusion tensor encoding the assessed anisotropic scaffold structure. Numerical simulations show its influence on the overall cell and tissue dynamics.","Sat, 9 Mar 2024 13:24:55 UTC (10,157 KB)"
"7","Confirmation of the centrality of the Huanan market among early COVID-19 cases","Florence Débarre, Michael Worobey","Physics and Society (physics.soc-ph)","The centrality of Wuhan's Huanan market in maps of December 2019 COVID-19 case residential locations, established by Worobey et al. (2022a), has recently been challenged by Stoyan and Chiu (2024, SC2024). SC2024 proposed a statistical test based on the premise that the measure of central tendency (hereafter, ""centre"") of a sample of case locations must coincide with the exact point from which local transmission began. Here we show that this premise is erroneous. SC2024 put forward two alternative centres (centroid and mode) to the centre-point which was used by Worobey et al. for some analyses, and proposed a bootstrapping method, based on their premise, to test whether a particular location is consistent with it being the point source of transmission. We show that SC2024's concerns about the use of centre-points are inconsequential, and that use of centroids for these data is inadvisable. The mode is an appropriate, even optimal, choice as centre; however, contrary to SC2024's results, we demonstrate that with proper implementation of their methods, the mode falls at the entrance of a parking lot at the market itself, and the 95% confidence region around the mode includes the market. Thus, the market cannot be rejected as central even by SC2024's overly stringent statistical test. Our results directly contradict SC2024's and -- together with myriad additional lines of evidence overlooked by SC2024, including crucial epidemiological information -- point to the Huanan market as the early epicentre of the COVID-19 pandemic.","Sat, 9 Mar 2024 10:16:51 UTC (28,243 KB)"
"8","PR-NET: Leveraging Pathway Refined Network Structures for Prostate Cancer Patient Condition Prediction","R. Li, J. Liu, X.L. Deng, X. Liu, J.C. Guo, W.Y. Wu, L. Yang","Machine Learning (cs.LG)","Motivation: The diagnosis and monitoring of Castrate Resistant Prostate Cancer (CRPC) are crucial for cancer patients, but the current models (such as P-NET) have limitations in terms of parameter count, generalization, and cost. Results: To address the above issues, we develop a more accurate and efficient Prostate Cancer patient condition prediction model, named PR-NET. By compressing and optimizing the network structure of P-NET, the model complexity is reduced while maintaining high accuracy and interpretability. The PR-NET demonstrated superior performance in predicting prostate cancer patient outcomes, outshining P-NET and six other traditional models with a significant margin. In our rigorous evaluation, PR-NET not only achieved impressive average AUC and Recall scores of 0.94 and 0.83, respectively, on known data but also maintained robust generalizability on five unknown datasets with a higher average AUC of 0.73 and Recall of 0.72, compared to P-NET's 0.68 and 0.5. PR-NET's efficiency was evidenced by its shorter average training and inference times, and its gene-level analysis revealed 46 key genes, demonstrating its enhanced predictive power and efficiency in identifying critical biomarkers for prostate cancer. Future research can further expand its application domains and optimize the model's performance and reliability.","Sat, 9 Mar 2024 06:58:21 UTC (1,300 KB)"
"9","Lateral Control of Brain-Controlled Vehicle Based on SVM Probability Output Model","Hongguang Pan, Xinyu Yu, Yong Yang","Neurons and Cognition (q-bio.NC)","The non-stationary characteristics of EEG signal and the individual differences of brain-computer interfaces (BCIs) lead to poor performance in the control process of the brain-controlled vehicles (BCVs). In this paper, by combining steady-state visual evoked potential (SSVEP) interactive interface, brain instructions generation module and vehicle lateral control module, a probabilistic output model based on support vector machine (SVM) is proposed for BCV lateral control to improve the driving performance. Firstly, a filter bank common spatial pattern (FBCSP) algorithm is introduced into the brain instructions generation module, which can improve the off-line decoding performance. Secondly, a sigmod-fitting SVM (SF-SVM) is trained based on the sigmod-fitting method and the lateral control module is developed, which can produce all commands in the form of probability instead of specific single command. Finally, a pre-experiment and two road-keeping experiments are conducted. In the pre-experiment, the experiment results show that, the average highest off-line accuracy among subjects is 95.64\%, while for those in the online stage, the average accuracy is only 84.44\%. In the road-keeping experiments, the task completion rate in the two designed scenes increased by 25.6\% and 20\%, respectively.","Sat, 9 Mar 2024 02:15:06 UTC (748 KB)"
"10","Kinetic theories of state- and generation-dependent cell populations","Mingtao Xia, Tom Chou","Populations and Evolution (q-bio.PE)","We formulate a general, high-dimensional kinetic theory describing the internal state (such as gene expression or protein levels) of cells in a stochastically evolving population. The resolution of our kinetic theory also allows one to track subpopulations associated with each generation. Both intrinsic noise of the cell's internal attribute and randomness in a cell's division times (demographic stochasticity) are fundamental to the development of our model. Based on this general framework, we are able to marginalize the high-dimensional kinetic PDEs in a number of different ways to derive equations that describe the dynamics of marginalized or ""macroscopic"" quantities such as structured population densities, moments of generation-dependent cellular states, and moments of the total population. We also show how nonlinear ""interaction"" terms in lower-dimensional integrodifferential equations can arise from high-dimensional linear kinetic models that contain rate parameters of a cell (birth and death rates) that depend on variables associated with other cells, generating couplings in the dynamics. Our analysis provides a general, more complete mathematical framework that resolves the coevolution of cell populations and cell states. The approach may be tailored for studying, e.g., gene expression in developing tissues, or other more general particle systems which exhibit Brownian noise in individual attributes and population-level demographic noise.","Fri, 8 Mar 2024 21:59:00 UTC (527 KB)"
